RM1120200.012
Embrapa_ 02/02/2011 00:00:28 02/02/2011 00:01:29 0100 -060.0 -002.9 -90 00 30.0 1013.0
0000600 0010 0000600 0010 05
1 0 1 04000 1 0960 7.50 00355.o 0 0 00 000 12 000600 0.500 BT0
1 1 1 04000 1 0960 7.50 00355.o 0 0 00 000 00 000600 3.1746 BC0
1 0 2 04000 1 0990 7.50 00387.o 0 0 00 000 12 000600 0.020 BT1
1 1 2 04000 1 0990 7.50 00387.o 0 0 00 000 00 000600 3.1746 BC1
1 1 2 04000 1 0990 7.50 00408.o 0 0 00 000 00 000600 3.1746 BC2
355.000 .o analog 0 	355.000 .o photon 0 	387.000 .o analog 1 	387.000 .o photon 1 	408.000 .o photon 2 
  1.6217	  0.0000	  1.9994	  0.0000	  0.0000
  1.6219	  0.0000	  1.9983	  0.0000	  0.0000
  1.6197	  0.0000	  1.9981	  0.0000	  0.0000
  1.6215	  0.0000	  1.9992	  0.0000	  0.0000
  1.6262	  0.0000	  1.9980	  0.0000	  0.0000
  1.6213	  0.0000	  1.9986	  0.0000	  0.0000
  1.6268	  0.0000	  1.9986	  0.0000	  0.0000
  1.6309	  0.0000	  1.9981	  0.0000	  0.0000
  1.6134	  0.0000	  1.9988	  0.0000	  0.0000
  1.6321	  0.0000	  1.9987	  0.0000	  0.0000
  1.6231	  0.0000	  1.9988	  0.0000	  0.0000
  1.6248	  0.0000	  1.9969	  0.0000	  0.0000
  1.6154	  0.0000	  1.9978	  0.0000	  0.0000
  1.6280	  0.0000	  1.9984	  0.0000	  0.0000
  1.6215	  0.0000	  1.9981	  0.0000	  0.0000
  1.6252	  0.0000	  1.9988	  0.0000	  0.0000
  1.6191	  0.0000	  1.9980	  0.0000	  0.0000
  1.6300	  0.0000	  1.9979	  0.0000	  0.0000
  1.6205	  0.0000	  1.9993	  0.0000	  0.0000
  1.6248	  0.0000	  1.9985	  0.0000	  0.0000
  1.6282	  0.0000	  1.9973	  0.0000	  0.0000
  1.6288	  0.0000	  1.9992	  0.0000	  0.0000
  1.6166	  0.0000	  1.9985	  0.0000	  0.0000
  1.6239	  0.0000	  1.9975	  0.0000	  0.0000
  1.6197	  0.0000	  1.9987	  0.0000	  0.0000
  1.6241	  0.0000	  1.9983	  0.0000	  0.0000
  1.6254	  0.0000	  1.9978	  0.0000	  0.0000
  1.6227	  0.0000	  1.9992	  0.0000	  0.0000
  1.6178	  0.0000	  1.9978	  0.0000	  0.0000
  1.6233	  0.0000	  1.9980	  0.0000	  0.0000
  1.6282	  0.0000	  1.9987	  0.0000	  0.0000
  1.6305	  0.0000	  1.9982	  0.0000	  0.0000
  1.6296	  0.0000	  1.9981	  0.0000	  0.0000
  1.6237	  0.0000	  1.9984	  0.0000	  0.0000
  1.6278	  0.0000	  1.9979	  0.0000	  0.0000
  1.6250	  0.0000	  1.9977	  0.0000	  0.0000
  1.6307	  0.0000	  1.9979	  0.0000	  0.0000
  1.6274	  0.0000	  1.9979	  0.0000	  0.0000
  1.6256	  0.0000	  1.9989	  0.0000	  0.0000
  1.6274	  0.0000	  1.9989	  0.0000	  0.0000
  1.6284	  0.0000	  1.9985	  0.0000	  0.0000
  1.6286	  0.0000	  1.9983	  0.0000	  0.0000
  1.6203	  0.0000	  1.9986	  0.0000	  0.0000
  1.6284	  0.0000	  1.9994	  0.0000	  0.0000
  1.6296	  0.0000	  1.9980	  0.0000	  0.0000
  1.6227	  0.0000	  1.9979	  0.0000	  0.0000
  1.6235	  0.0000	  1.9984	  0.0000	  0.0000
  1.6229	  0.0000	  1.9979	  0.0000	  0.0000
  1.6221	  0.0000	  1.9982	  0.0000	  0.0000
  1.6233	  0.0000	  1.9981	  0.0000	  0.0000
  1.6280	  0.0000	  1.9986	  0.0000	  0.0000
  1.6221	  0.0000	  1.9970	  0.0000	  0.0000
  1.6223	  0.0000	  1.9984	  0.0000	  0.0000
  1.6160	  0.0000	  1.9981	  0.0000	  0.0000
  1.6223	  0.0000	  1.9989	  0.0000	  0.0000
  1.6219	  0.0000	  1.9989	  0.0000	  0.0000
  1.6225	  0.0000	  1.9990	  0.0000	  0.0000
  1.6195	  0.0000	  1.9986	  0.0000	  0.0000
  1.6315	  0.0000	  1.9980	  0.0000	  0.0000
  1.6300	  0.0000	  1.9984	  0.0000	  0.0000
  1.6294	  0.0000	  1.9986	  0.0000	  0.0000
  1.6237	  0.0000	  1.9991	  0.0000	  0.0000
  1.6282	  0.0000	  1.9986	  0.0000	  0.0000
  1.6294	  0.0000	  1.9984	  0.0000	  0.0000
  1.6268	  0.0000	  1.9980	  0.0000	  0.0000
  1.6270	  0.0000	  1.9974	  0.0000	  0.0000
  1.6248	  0.0000	  1.9981	  0.0000	  0.0000
  1.6264	  0.0000	  1.9983	  0.0000	  0.0000
  1.6248	  0.0000	  1.9978	  0.0000	  0.0000
  1.6258	  0.0000	  1.9984	  0.0000	  0.0000
  1.6278	  0.0000	  1.9984	  0.0000	  0.0000
  1.6219	  0.0000	  1.9984	  0.0000	  0.0000
  1.6239	  0.0000	  1.9988	  0.0000	  0.0000
  1.6217	  0.0000	  1.9982	  0.0000	  0.0000
  1.6241	  0.0000	  1.9990	  0.0000	  0.0000
  1.6201	  0.0000	  1.9983	  0.0000	  0.0000
  1.6219	  0.0000	  1.9987	  0.0000	  0.0000
  1.6229	  0.0000	  1.9981	  0.0333	  0.0000
  1.6313	  0.0000	  1.9987	  0.0000	  0.0000
  1.6264	  0.0000	  1.9985	  0.0000	  0.0000
  1.6250	  0.0000	  1.9976	  0.0000	  0.0000
  1.6274	  0.0000	  1.9992	  0.0000	  0.0000
  1.6243	  0.0000	  1.9985	  0.0000	  0.0000
  1.6213	  0.0000	  1.9978	  0.0000	  0.0000
  1.6270	  0.0000	  1.9980	  0.0000	  0.0000
  1.6217	  0.0000	  1.9980	  0.0000	  0.0000
  1.6211	  0.0000	  1.9981	  0.0000	  0.0000
  1.6239	  0.0000	  1.9994	  0.0000	  0.0000
  1.6276	  0.0000	  1.9979	  0.0000	  0.0000
  1.6264	  0.0000	  1.9987	  0.0000	  0.0000
  1.6223	  0.0000	  1.9990	  0.0000	  0.0000
  1.6199	  0.0000	  1.9977	  0.0000	  0.0000
  1.6282	  0.0000	  1.9974	  0.0000	  0.0000
  1.6211	  0.0000	  1.9983	  0.0000	  0.0000
  1.6280	  0.0000	  1.9986	  0.0000	  0.0000
  1.6309	  0.0000	  1.9990	  0.0000	  0.0000
  1.6252	  0.0000	  1.9990	  0.0000	  0.0000
  1.6223	  0.0000	  1.9980	  0.0000	  0.0000
  1.6227	  0.0000	  1.9980	  0.0000	  0.0000
  1.6272	  0.0000	  1.9981	  0.0000	  0.0000
  1.6195	  0.0667	  1.9991	  0.0000	  0.0000
  1.6256	  0.0000	  1.9986	  0.0000	  0.0000
  1.6268	  0.0000	  1.9978	  0.0000	  0.0000
  1.6254	  0.0000	  1.9982	  0.0000	  0.0000
  1.6300	  0.0000	  1.9980	  0.0000	  0.0000
  1.6215	  0.0000	  1.9980	  0.0000	  0.0000
  1.6256	  0.0000	  1.9981	  0.0000	  0.0000
  1.6286	  0.0000	  1.9983	  0.0000	  0.0000
  1.6219	  0.0000	  1.9983	  0.0000	  0.0000
  1.6223	  0.0000	  1.9984	  0.0000	  0.0000
  1.6248	  0.0000	  1.9993	  0.0000	  0.0000
  1.6294	  0.0000	  1.9978	  0.0000	  0.0000
  1.6246	  0.0000	  1.9988	  0.0000	  0.0000
  1.6215	  0.0000	  1.9984	  0.0000	  0.0000
  1.6241	  0.0000	  1.9987	  0.0000	  0.0000
  1.6219	  0.0000	  1.9983	  0.0000	  0.0000
  1.6280	  0.0000	  1.9979	  0.0000	  0.0000
  1.6252	  0.0000	  1.9994	  0.0000	  0.0000
  1.6203	  0.0000	  1.9991	  0.0000	  0.0000
  1.6248	  0.0000	  1.9986	  0.0000	  0.0000
  1.6270	  0.0000	  1.9986	  0.0000	  0.0000
  1.6264	  0.0000	  1.9987	  0.0000	  0.0000
  1.6233	  0.0000	  1.9978	  0.0000	  0.0000
  1.6213	  0.0000	  1.9983	  0.0000	  0.0000
  1.6233	  0.0000	  1.9979	  0.0000	  0.0000
  1.6219	  0.0000	  1.9986	  0.0000	  0.0000
  1.6258	  0.0000	  1.9985	  0.0000	  0.0000
  1.6231	  0.0000	  1.9989	  0.0000	  0.0000
  1.6266	  0.0000	  1.9982	  0.0000	  0.0000
  1.6252	  0.0000	  1.9981	  0.0000	  0.0000
  1.6203	  0.0000	  1.9982	  0.0000	  0.0000
  1.6221	  0.0000	  1.9984	  0.0000	  0.0000
  1.6205	  0.0000	  1.9992	  0.0000	  0.0000
  1.6207	  0.0000	  1.9982	  0.0000	  0.0000
  1.6276	  0.0000	  1.9969	  0.0000	  0.0000
  1.6235	  0.0000	  1.9989	  0.0000	  0.0000
  1.6239	  0.0000	  1.9986	  0.0000	  0.0000
  1.6258	  0.0000	  1.9987	  0.0000	  0.0000
  1.6272	  0.0000	  1.9987	  0.0000	  0.0000
  1.6270	  0.0000	  1.9977	  0.0000	  0.0000
  1.6252	  0.0333	  1.9993	  0.0000	  0.0000
  1.6229	  0.0000	  1.9992	  0.0000	  0.0000
  1.6205	  0.0000	  1.9983	  0.0000	  0.0000
  1.6235	  0.0000	  1.9982	  0.0000	  0.0000
  1.6243	  0.0000	  1.9975	  0.0000	  0.0000
  1.6152	  0.0000	  1.9992	  0.0000	  0.0000
  1.6268	  0.0000	  1.9988	  0.0000	  0.0000
  1.6274	  0.0000	  1.9978	  0.0000	  0.0000
  1.6235	  0.0000	  1.9985	  0.0000	  0.0000
  1.6243	  0.0000	  1.9991	  0.0000	  0.0000
  1.6231	  0.0000	  1.9990	  0.0000	  0.0000
  1.6237	  0.0000	  1.9981	  0.0000	  0.0000
  1.6246	  0.0000	  1.9979	  0.0000	  0.0000
  1.6237	  0.0000	  1.9993	  0.0000	  0.0000
  1.6241	  0.0000	  1.9987	  0.0000	  0.0000
  1.6252	  0.0000	  1.9989	  0.0000	  0.0000
  1.6305	  0.0000	  1.9990	  0.0000	  0.0000
  1.6237	  0.0000	  1.9991	  0.1000	  0.0000
  1.6154	  0.0000	  1.9995	  0.0000	  0.0000
  1.6237	  0.0000	  1.9981	  0.0000	  0.0000
  1.6176	  0.0000	  1.9986	  0.0000	  0.0000
  1.6235	  0.0000	  1.9990	  0.0000	  0.0000
  1.6264	  0.0000	  1.9973	  0.0000	  0.0000
  1.6217	  0.0000	  1.9982	  0.0000	  0.0000
  1.6250	  0.0000	  1.9987	  0.0000	  0.0000
  1.6205	  0.0000	  1.9993	  0.0000	  0.0000
  1.6209	  0.0000	  1.9998	  0.0000	  0.0000
  1.6248	  0.0000	  1.9990	  0.0000	  0.0000
  1.6256	  0.0000	  1.9980	  0.0000	  0.0000
  1.6294	  0.0000	  1.9974	  0.0000	  0.0000
  1.6268	  0.0000	  1.9978	  0.0000	  0.0000
  1.6221	  0.0000	  1.9986	  0.0000	  0.0000
  1.6217	  0.0000	  1.9985	  0.0000	  0.0000
  1.6250	  0.0000	  1.9981	  0.0000	  0.0000
  1.6209	  0.0000	  1.9986	  0.0000	  0.0000
  1.6187	  0.0000	  1.9982	  0.0000	  0.0000
  1.6227	  0.0000	  1.9985	  0.0000	  0.0000
  1.6215	  0.0000	  1.9984	  0.0000	  0.0000
  1.6235	  0.0000	  1.9982	  0.0000	  0.0000
  1.6213	  0.0000	  1.9978	  0.0000	  0.0000
  1.6231	  0.0000	  1.9981	  0.0000	  0.0000
  1.6170	  0.0000	  1.9988	  0.0000	  0.0000
  1.6213	  0.0333	  1.9979	  0.0000	  0.0000
  1.6193	  0.0333	  1.9994	  0.0000	  0.0000
  1.6246	  0.0000	  1.9983	  0.0000	  0.0000
  1.6260	  0.0000	  1.9984	  0.0000	  0.0000
  1.6264	  0.0000	  1.9992	  0.0000	  0.0000
  1.6211	  0.0000	  1.9985	  0.0000	  0.0000
  1.6221	  0.0000	  1.9986	  0.0000	  0.0000
  1.6223	  0.0000	  1.9978	  0.0000	  0.0000
  1.6278	  0.0000	  1.9991	  0.0000	  0.0000
  1.6268	  0.0000	  1.9983	  0.0000	  0.0000
  1.6292	  0.0000	  1.9985	  0.0000	  0.0000
  1.6258	  0.0000	  1.9989	  0.0000	  0.0000
  1.6231	  0.0000	  1.9984	  0.0000	  0.0000
  1.6239	  0.0000	  1.9992	  0.0000	  0.0000
  1.6239	  0.0000	  1.9986	  0.0000	  0.0000
  1.6221	  0.0000	  1.9986	  0.0000	  0.0000
  1.6268	  0.0000	  1.9983	  0.0000	  0.0000
  1.6274	  0.0000	  1.9987	  0.0000	  0.0000
  1.6241	  0.0000	  1.9979	  0.0000	  0.0000
  1.6195	  0.0000	  1.9982	  0.0000	  0.0000
  1.6211	  0.0000	  1.9988	  0.0000	  0.0333
  1.6274	  0.0000	  1.9993	  0.0000	  0.0000
  1.6280	  0.0000	  1.9981	  0.0000	  0.0000
  1.6227	  0.0000	  1.9979	  0.0000	  0.0000
  1.6213	  0.0000	  1.9985	  0.0000	  0.0000
  1.6252	  0.0000	  1.9989	  0.0000	  0.0000
  1.6237	  0.0000	  1.9991	  0.0000	  0.0000
  1.6252	  0.0000	  1.9974	  0.0000	  0.0000
  1.6237	  0.0000	  1.9984	  0.0000	  0.0000
  1.6215	  0.0000	  1.9984	  0.0000	  0.0000
  1.6286	  0.0000	  1.9982	  0.0000	  0.0000
  1.6191	  0.0000	  1.9990	  0.0000	  0.0000
  1.6221	  0.0000	  1.9985	  0.0000	  0.0000
  1.6223	  0.0000	  1.9980	  0.0000	  0.0000
  1.6229	  0.0000	  1.9980	  0.0000	  0.0000
  1.6235	  0.0000	  1.9985	  0.0000	  0.0000
  1.6309	  0.0000	  1.9986	  0.0000	  0.0000
  1.6235	  0.0000	  1.9988	  0.0000	  0.0000
  1.6274	  0.0000	  1.9986	  0.0000	  0.0000
  1.6250	  0.0000	  1.9987	  0.0000	  0.0000
  1.6250	  0.0000	  1.9984	  0.0000	  0.0000
  1.6266	  0.0000	  1.9990	  0.0000	  0.0000
  1.6266	  0.0000	  1.9992	  0.0000	  0.0000
  1.6272	  0.0000	  1.9981	  0.0000	  0.0000
  1.6270	  0.0000	  1.9996	  0.0000	  0.0000
  1.6231	  0.0000	  1.9986	  0.0000	  0.0000
  1.6252	  0.0000	  1.9982	  0.0000	  0.0000
  1.6294	  0.0000	  1.9982	  0.0000	  0.0000
  1.6223	  0.0000	  1.9988	  0.0000	  0.0000
  1.6178	  0.0000	  1.9974	  0.0000	  0.0000
  1.6252	  0.0000	  1.9979	  0.0000	  0.0000
  1.6264	  0.0000	  1.9981	  0.0000	  0.0000
  1.6282	  0.0000	  1.9983	  0.0000	  0.0000
  1.6280	  0.0000	  1.9978	  0.0000	  0.0000
  1.6184	  0.0333	  1.9987	  0.0000	  0.0000
  1.6243	  0.0000	  1.9980	  0.0000	  0.0000
  1.6197	  0.0000	  1.9986	  0.0000	  0.0000
  1.6229	  0.0000	  1.9987	  0.0000	  0.0000
  1.6258	  0.0000	  1.9983	  0.0000	  0.0333
  1.6246	  0.0000	  1.9990	  0.0000	  0.0000
  1.6264	  0.0000	  1.9985	  0.0000	  0.0000
  1.6243	  0.0000	  1.9988	  0.0000	  0.0000
  1.6225	  0.0000	  1.9986	  0.0000	  0.0000
  1.6260	  0.0000	  1.9992	  0.0000	  0.0000
  1.6270	  0.0000	  1.9984	  0.0000	  0.0000
  1.6256	  0.0000	  1.9980	  0.0000	  0.0000
  1.6197	  0.0000	  1.9991	  0.0000	  0.0000
  1.6276	  0.0000	  1.9990	  0.0000	  0.0000
  1.6227	  0.0000	  1.9991	  0.0000	  0.0000
  1.6225	  0.0000	  1.9984	  0.0000	  0.0000
  1.6225	  0.0000	  1.9986	  0.0000	  0.0000
  1.6223	  0.0000	  1.9992	  0.0000	  0.0000
  1.6264	  0.0000	  1.9987	  0.0000	  0.0000
  1.6280	  0.0000	  1.9989	  0.0000	  0.0000
  1.6223	  0.0000	  1.9989	  0.0000	  0.0000
  1.6227	  0.0000	  1.9989	  0.0000	  0.0000
  1.6260	  0.0000	  1.9989	  0.0000	  0.0000
  1.6233	  0.0333	  1.9984	  0.0000	  0.0000
  1.6256	  0.0000	  1.9984	  0.0000	  0.0000
  1.6211	  0.0000	  1.9984	  0.0000	  0.0000
  1.6237	  0.0000	  1.9980	  0.0000	  0.0000
  1.6258	  0.0000	  1.9987	  0.0000	  0.0000
  1.6260	  0.0000	  1.9983	  0.0000	  0.0000
  1.6231	  0.0000	  1.9996	  0.0000	  0.0000
  1.6248	  0.0000	  1.9984	  0.0000	  0.0000
  1.6239	  0.0000	  1.9981	  0.0000	  0.0000
  1.6225	  0.0000	  1.9986	  0.0000	  0.0000
  1.6307	  0.0000	  1.9987	  0.0000	  0.0000
  1.6302	  0.0000	  1.9989	  0.0000	  0.0000
  1.6282	  0.0000	  1.9986	  0.0000	  0.0000
  1.6243	  0.0000	  1.9988	  0.0000	  0.0000
  1.6213	  0.0000	  1.9984	  0.0000	  0.0000
  1.6294	  0.0000	  1.9989	  0.0000	  0.0000
  1.6252	  0.0000	  1.9988	  0.0000	  0.0000
  1.6254	  0.0000	  1.9985	  0.0000	  0.0000
  1.6215	  0.0000	  1.9982	  0.0000	  0.0000
  1.6189	  0.0000	  1.9984	  0.0000	  0.0000
  1.6254	  0.0000	  1.9984	  0.0000	  0.0000
  1.6311	  0.0000	  1.9983	  0.0000	  0.0000
  1.6254	  0.0000	  1.9987	  0.0000	  0.0000
  1.6256	  0.0000	  1.9980	  0.0000	  0.0000
  1.6203	  0.0000	  1.9988	  0.0000	  0.0000
  1.6235	  0.0000	  1.9994	  0.0000	  0.0000
  1.6260	  0.0000	  1.9988	  0.0000	  0.0000
  1.6278	  0.0000	  1.9986	  0.0000	  0.0000
  1.6205	  0.0000	  1.9979	  0.0000	  0.0000
  1.6201	  0.0000	  1.9981	  0.0000	  0.0000
  1.6252	  0.0000	  1.9980	  0.0000	  0.0000
  1.6276	  0.0000	  1.9984	  0.0000	  0.0000
  1.6268	  0.0000	  1.9991	  0.0000	  0.0000
  1.6276	  0.0000	  1.9983	  0.0000	  0.0000
  1.6250	  0.0000	  1.9987	  0.0000	  0.0000
  1.6252	  0.0000	  1.9983	  0.0000	  0.0000
  1.6246	  0.0000	  1.9994	  0.0000	  0.0000
  1.6225	  0.0000	  1.9983	  0.0000	  0.0000
  1.6290	  0.0000	  1.9985	  0.0000	  0.0000
  1.6223	  0.0000	  1.9979	  0.0000	  0.0000
  1.6246	  0.0000	  1.9983	  0.0000	  0.0000
  1.6243	  0.0000	  1.9984	  0.0000	  0.0000
  1.6264	  0.0000	  1.9986	  0.0000	  0.0000
  1.6209	  0.0000	  1.9987	  0.0000	  0.0000
  1.6168	  0.0000	  1.9982	  0.0000	  0.0000
  1.6258	  0.0000	  1.9992	  0.0000	  0.0000
  1.6241	  0.0000	  1.9986	  0.0000	  0.0000
  1.6191	  0.0000	  1.9984	  0.0000	  0.0000
  1.6254	  0.0000	  1.9986	  0.0000	  0.0000
  1.6239	  0.0000	  1.9988	  0.0000	  0.0000
  1.6268	  0.0000	  1.9981	  0.0000	  0.0000
  1.6239	  0.0000	  1.9978	  0.0000	  0.0000
  1.6300	  0.0000	  1.9984	  0.0000	  0.0000
  1.6286	  0.0000	  1.9992	  0.0000	  0.0000
  1.6237	  0.0000	  1.9990	  0.0000	  0.0000
  1.6284	  0.0000	  1.9993	  0.0000	  0.0000
  1.6288	  0.0000	  1.9985	  0.0000	  0.0000
  1.6229	  0.0000	  1.9980	  0.0000	  0.0000
  1.6258	  0.0000	  1.9985	  0.0000	  0.0000
  1.6274	  0.0000	  1.9987	  0.0000	  0.0000
  1.6262	  0.0000	  1.9985	  0.0000	  0.0000
  1.6288	  0.0000	  1.9982	  0.0000	  0.0000
  1.6258	  0.0000	  1.9984	  0.0000	  0.0000
  1.6305	  0.0000	  1.9981	  0.0000	  0.0000
  1.6288	  0.0000	  1.9985	  0.0000	  0.0000
  1.6264	  0.0000	  1.9992	  0.0000	  0.0000
  1.6217	  0.0000	  1.9984	  0.0000	  0.0000
  1.6199	  0.0000	  1.9991	  0.0000	  0.0000
  1.6282	  0.0000	  1.9994	  0.0000	  0.0000
  1.6331	  0.0000	  1.9983	  0.0000	  0.0000
  1.6266	  0.0000	  1.9987	  0.0333	  0.0000
  1.6280	  0.0000	  1.9985	  0.0000	  0.0000
  1.6264	  0.0000	  1.9983	  0.0000	  0.0000
  1.6270	  0.0000	  1.9983	  0.0000	  0.0000
  1.6254	  0.0000	  1.9987	  0.0000	  0.0000
  1.6246	  0.0000	  1.9990	  0.0000	  0.0000
  1.6237	  0.0000	  1.9984	  0.0000	  0.0000
  1.6250	  0.0000	  1.9986	  0.0000	  0.0000
  1.6268	  0.0000	  1.9992	  0.0000	  0.0000
  1.6262	  0.0000	  1.9989	  0.0000	  0.0000
  1.6233	  0.0000	  1.9995	  0.0000	  0.0000
  1.6233	  0.0000	  1.9989	  0.0000	  0.0000
  1.6296	  0.0000	  1.9991	  0.0000	  0.0000
  1.6280	  0.0000	  1.9985	  0.0000	  0.0000
  1.6272	  0.0000	  1.9977	  0.0000	  0.0000
  1.6233	  0.0000	  1.9977	  0.0000	  0.0000
  1.6288	  0.0000	  1.9984	  0.0000	  0.0000
  1.6225	  0.0000	  1.9988	  0.0000	  0.0000
  1.6246	  0.0000	  1.9983	  0.0000	  0.0000
  1.6258	  0.0000	  1.9982	  0.0000	  0.0000
  1.6264	  0.0000	  1.9982	  0.0000	  0.0000
  1.6272	  0.0000	  1.9986	  0.0000	  0.0000
  1.6239	  0.0000	  1.9990	  0.0000	  0.0000
  1.6243	  0.0000	  1.9998	  0.0000	  0.0000
  1.6164	  0.0000	  1.9981	  0.0000	  0.0000
  1.6241	  0.0000	  1.9980	  0.0000	  0.0000
  1.6229	  0.0000	  1.9994	  0.0000	  0.0000
  1.6302	  0.0000	  1.9983	  0.0000	  0.0000
  1.6207	  0.0000	  1.9985	  0.0000	  0.0000
  1.6211	  0.0000	  1.9987	  0.0000	  0.0000
  1.6264	  0.0000	  1.9985	  0.0000	  0.0000
  1.6227	  0.0000	  1.9982	  0.0000	  0.0000
  1.6258	  0.0000	  1.9984	  0.0000	  0.0000
  1.6274	  0.0000	  1.9992	  0.0000	  0.0000
  1.6262	  0.0000	  1.9999	  0.0000	  0.0000
  1.6248	  0.0000	  1.9996	  0.0000	  0.0000
  1.6184	  0.0000	  1.9995	  0.0000	  0.0000
  1.6264	  0.0000	  1.9992	  0.0333	  0.0000
  1.6266	  0.0000	  1.9990	  0.0000	  0.0000
  1.6288	  0.0000	  1.9986	  0.0000	  0.0000
  1.6248	  0.0000	  1.9984	  0.0000	  0.0000
  1.6266	  0.0000	  1.9989	  0.0000	  0.0000
  1.6241	  0.0000	  1.9986	  0.0000	  0.0000
  1.6274	  0.0000	  1.9985	  0.0000	  0.0000
  1.6217	  0.0000	  1.9987	  0.0000	  0.0000
  1.6221	  0.0000	  1.9984	  0.0000	  0.0000
  1.6250	  0.0000	  1.9994	  0.0000	  0.0000
  1.6231	  0.0000	  1.9994	  0.0000	  0.0000
  1.6288	  0.0000	  1.9984	  0.0000	  0.0000
  1.6270	  0.0000	  1.9986	  0.0000	  0.0000
  1.6280	  0.0000	  1.9978	  0.0000	  0.0000
  1.6278	  0.0000	  1.9976	  0.0000	  0.0000
  1.6278	  0.0000	  1.9980	  0.0000	  0.0000
  1.6243	  0.0000	  1.9987	  0.0000	  0.0000
  1.6268	  0.0000	  1.9997	  0.0000	  0.0000
  1.6207	  0.0000	  1.9983	  0.0000	  0.0000
  1.6219	  0.0000	  1.9977	  0.0000	  0.0000
  1.6260	  0.0000	  1.9982	  0.0000	  0.0000
  1.6252	  0.0000	  1.9991	  0.0000	  0.0000
  1.6213	  0.0000	  1.9988	  0.0000	  0.0000
  1.6319	  0.0000	  1.9986	  0.0000	  0.0000
  1.6246	  0.0000	  1.9988	  0.0000	  0.0000
  1.6345	  0.0000	  1.9989	  0.0000	  0.0000
  1.6260	  0.0000	  1.9985	  0.0000	  0.0000
  1.6221	  0.0000	  1.9996	  0.0000	  0.0000
  1.6284	  0.0000	  1.9986	  0.0000	  0.0000
  1.6241	  0.0000	  1.9986	  0.0000	  0.0000
  1.6288	  0.0000	  1.9998	  0.0000	  0.0000
  1.6231	  0.0000	  1.9987	  0.0000	  0.0000
  1.6252	  0.0000	  1.9992	  0.0000	  0.0000
  1.6223	  0.0000	  1.9982	  0.0000	  0.0000
  1.6258	  0.0000	  1.9985	  0.0000	  0.0000
  1.6294	  0.0000	  1.9991	  0.0000	  0.0000
  1.6225	  0.0000	  1.9984	  0.0000	  0.0000
  1.6221	  0.0000	  1.9996	  0.0000	  0.0000
  1.6254	  0.0000	  2.0000	  0.0000	  0.0000
  1.6290	  0.0000	  1.9981	  0.0000	  0.0000
  1.6286	  0.0000	  1.9991	  0.0000	  0.0000
  1.6278	  0.0000	  1.9987	  0.0000	  0.0000
  1.6300	  0.0000	  1.9989	  0.0000	  0.0000
  1.6300	  0.0000	  1.9985	  0.0000	  0.0000
  1.6264	  0.0000	  1.9996	  0.0000	  0.0000
  1.6280	  0.0000	  1.9999	  0.0000	  0.0000
  1.6235	  0.0000	  1.9993	  0.0000	  0.0000
  1.6250	  0.0000	  1.9986	  0.0000	  0.0000
  1.6248	  0.0000	  1.9991	  0.0000	  0.0000
  1.6272	  0.0000	  1.9985	  0.0333	  0.0000
  1.6294	  0.0000	  1.9993	  0.0000	  0.0000
  1.6309	  0.0000	  1.9992	  0.0000	  0.0000
  1.6227	  0.0000	  1.9995	  0.0000	  0.0000
  1.6225	  0.0000	  1.9997	  0.0000	  0.0000
  1.6292	  0.0000	  1.9988	  0.0000	  0.0000
  1.6231	  0.0000	  1.9980	  0.0000	  0.0000
  1.6241	  0.0000	  1.9984	  0.0000	  0.0000
  1.6296	  0.0000	  1.9987	  0.0000	  0.0000
  1.6223	  0.0000	  1.9989	  0.0000	  0.0000
  1.6319	  0.0000	  1.9976	  0.0000	  0.0000
  1.6288	  0.0000	  1.9985	  0.0000	  0.0000
  1.6237	  0.0000	  1.9995	  0.0000	  0.0000
  1.6250	  0.0000	  1.9982	  0.0000	  0.0000
  1.6241	  0.0000	  1.9985	  0.0000	  0.0000
  1.6221	  0.0000	  1.9985	  0.0000	  0.0000
  1.6250	  0.0000	  1.9984	  0.0000	  0.0000
  1.6237	  0.0000	  1.9998	  0.0000	  0.0000
  1.6266	  0.0000	  1.9997	  0.0000	  0.0000
  1.6217	  0.0000	  1.9980	  0.0000	  0.0000
  1.6211	  0.0000	  1.9980	  0.0000	  0.0000
  1.6209	  0.0000	  1.9985	  0.0000	  0.0000
  1.6270	  0.0000	  1.9987	  0.0000	  0.0000
  1.6302	  0.0000	  1.9990	  0.0000	  0.0000
  1.6264	  0.0000	  1.9985	  0.0000	  0.0000
  1.6250	  0.0000	  1.9985	  0.0000	  0.0000
  1.6250	  0.0000	  1.9988	  0.0000	  0.0000
  1.6274	  0.0000	  1.9990	  0.0000	  0.0000
  1.6260	  0.0000	  1.9992	  0.0000	  0.0000
  1.6280	  0.0000	  1.9997	  0.0000	  0.0000
  1.6217	  0.0000	  1.9993	  0.0000	  0.0000
  1.6302	  0.0000	  1.9981	  0.0000	  0.0000
  1.6237	  0.0000	  1.9978	  0.0000	  0.0000
  1.6246	  0.0000	  1.9990	  0.0000	  0.0000
  1.6305	  0.0000	  1.9988	  0.0000	  0.0000
  1.6333	  0.0000	  1.9985	  0.0000	  0.0000
  1.6315	  0.0000	  1.9999	  0.0000	  0.0000
  1.6264	  0.0000	  1.9987	  0.0000	  0.0000
  1.6201	  0.0000	  1.9985	  0.0000	  0.0000
